**************** SMK Experiment *************
Kernels         Blocks_co               Blocks_solo     Blocks_ibc      Speedup_colo    Speedup_th      Speedup_real    Speedup_inc
HCEDD/CCONV      6_4     6_4     6_4     1.197380        1.812574        1.197380       1.197380
SPMV_CSRscalar/RCONV     7_18    3_26    7_18    1.205970        2.757991        0.908445       1.205970
SPMV_CSRscalar/CCONV     12_4    3_13    9_7     1.118125        2.763393        0.612409       1.118125
RCONV/CCONV      16_8    16_8    16_8    1.339632        2.013396        1.339632       1.339632

**************** SMT Experiment *************
Kernels         Blocks_co               Blocks_solo     Blocks_inc      Speedup_colo    Speedup_th      Speedup_real    Speedup_inc
VA/MM    10_18   8_20   8_20     1.137769        1.613497        1.135214 1.135214
VA/BS    9_19    10_18  10_18    1.072695        1.836512        1.072212 1.072212
VA/Reduction     17_11   8_20   9_19     1.016304        1.734501        0.988029 0.996033
VA/PF    9_19    8_20   7_21     1.346069        1.622608        1.344692 1.342910
VA/HST256        16_12   8_20   8_20     63.550141       1.664194        1.008963 1.008963
VA/GCEDD         8_20    8_20   7_21     1.337937        1.627224        1.337937 1.326480
VA/SCEDD         7_21    8_20   7_21     1.539994        1.634634        1.530255 1.539994
VA/NCEDD         7_21    8_20   7_21     1.341038        1.630715        1.334656 1.341038
VA/HCEDD         7_21    8_20   7_21     1.273488        1.638915        1.265777 1.273488
VA/SPMV_CSRscalar        7_21    12_16  7_21     1.114558        2.240555        0.668713 1.114558
VA/RCONV         7_21    8_20   7_21     1.444795        1.619279        1.442174 1.444795
VA/CCONV         10_18   11_17  15_13    1.006759        1.962652        1.005687 1.005814
MM/BS    15_13   14_14  17_11    1.050903        1.293071        1.050519 1.047397
MM/Reduction     8_20    10_18  13_15    1.009705        1.157741        1.003914 0.994169
MM/PF    27_1    6_22   13_15    0.996570        1.042964        0.982388 0.973652
MM/HST256        24_4    11_17  12_16    46.156761       1.083982        0.946835 0.944873
MM/GCEDD         27_1    9_19   14_14    0.995012        1.046055        0.980383 0.971372
MM/SCEDD         1_27    5_23   14_14    1.305830        1.054035        1.242079 1.121563
MM/NCEDD         1_27    10_18  14_14    1.137894        1.049444        1.075908 1.039590
MM/HCEDD         1_27    10_18  14_14    1.055488        1.058345        1.019077 0.992729
MM/SPMV_CSRscalar        17_11   17_11  12_16    1.281402        1.751245        1.281402 1.236987
MM/RCONV         1_27    4_24   14_14    0.995010        1.039104        0.991858 0.981019
MM/CCONV         16_12   13_15  19_9     1.116855        1.447706        1.099968 1.085582
BS/Reduction     26_2    13_15  11_17    0.998193        1.420253        0.969215 0.974073
BS/PF    12_16   13_15  12_16    1.171154        1.303339        1.164798 1.171154
BS/HST256        17_11   13_15  11_17    86.165138       1.346533        0.967143 0.966679
BS/GCEDD         11_17   13_15  11_17    1.138780        1.308968        1.135525 1.138780
BS/SCEDD         7_21    13_15  11_17    1.344278        1.311991        1.290461 1.308684
BS/NCEDD         8_20    13_15  11_17    1.189250        1.312518        1.161262 1.178110
BS/HCEDD         14_14   13_15  12_16    1.130562        1.321421        1.130201 1.130486
BS/SPMV_CSRscalar        8_20    14_14  8_20     1.182593        1.999134        0.533909 1.182593
BS/RCONV         14_14   13_15  12_16    1.193220        1.298682        1.192581 1.192652
BS/CCONV         19_9    13_15  19_9     1.084409        1.711899        1.063778 1.084409
Reduction/PF     15_13   14_14  13_15    1.081577        1.165516        1.078787 1.081017
Reduction/HST256         19_9    14_14  15_13    86.596449       1.207255        0.922623 0.927181
Reduction/GCEDD          12_16   15_13  12_16    1.045378        1.171701        1.041749 1.045378
Reduction/SCEDD          1_27    14_14  14_14    1.310493        1.173556        1.183672 1.183672
Reduction/NCEDD          1_27    15_13  13_15    1.144303        1.175352        1.085408 1.107271
Reduction/HCEDD          1_27    15_13  14_14    1.053783        1.183971        1.030542 1.034548
Reduction/SPMV_CSRscalar         11_17   17_11  9_19     1.313956        1.880771        0.530098 1.280194
Reduction/RCONV          15_13   15_13  14_14    1.042343        1.161627        1.042343 1.041287
Reduction/CCONV          14_14   13_15  20_8     1.019720        1.571347        1.019208 0.996520
PF/HST256        23_5    13_15  11_17    61.281578       1.091796        1.015571 1.041066
PF/GCEDD         27_1    15_13  14_14    0.998382        1.054840        0.987716 0.991626
PF/SCEDD         1_27    9_19   15_13    1.310234        1.057811        1.218741 1.144846
PF/NCEDD         1_27    15_13  15_13    1.139197        1.058491        1.069428 1.069428
PF/HCEDD         1_27    15_13  14_14    1.057727        1.067110        1.003898 1.015667
PF/SPMV_CSRscalar        17_11   17_11  17_11    1.606301        1.763455        1.606301 1.606301
PF/RCONV         1_27    15_13  15_13    0.991687        1.044766        0.976752 0.976752
PF/CCONV         16_12   13_15  18_10    1.186133        1.457162        1.161390 1.168990
HST256/GCEDD     6_22    16_12  6_22     69.680485       1.097580        1.000235 69.680485
HST256/SCEDD     5_23    14_14  5_23     56.803184       1.099837        1.149934 56.803184
HST256/NCEDD     6_22    16_12  6_22     67.830238       1.101120        1.055729 67.830238
HST256/HCEDD     14_14   14_14  14_14    146.882848      1.110129        146.882848 146.882848
HST256/SPMV_CSRscalar    7_21    17_11  7_21     56.944793       1.806965        0.500268 56.944793
HST256/RCONV     7_21    16_12  7_21     76.462645       1.087857        0.991501 76.462645
HST256/CCONV     13_15   13_15  13_15    69.421346       1.498901        69.421346 69.421346
GCEDD/SCEDD      1_27    10_18  12_16    1.299319        1.063959        1.193247 1.233789
GCEDD/NCEDD      14_14   15_13  14_14    1.152084        1.063571        1.125149 1.152084
GCEDD/HCEDD      21_7    14_14  15_13    1.144444        1.072563        1.014031 1.012058
GCEDD/SPMV_CSRscalar     16_12   17_11  17_11    1.518794        1.768306        1.514053 1.514053
GCEDD/RCONV      27_1    15_13  15_13    0.984823        1.049846        0.976893 0.976893
GCEDD/CCONV      14_14   13_15  19_9     1.196766        1.462382        1.195620 1.159816
SCEDD/NCEDD      17_11   17_11  15_13    1.340404        1.067531        1.340404 1.243376
SCEDD/HCEDD      22_6    14_14  15_13    1.391899        1.075586        1.173018 1.182664
SCEDD/SPMV_CSRscalar     18_10   17_11  18_10    1.631945        1.773767        1.612581 1.631945
SCEDD/RCONV      27_1    19_9   12_16    1.297693        1.054351        1.201929 1.117533
SCEDD/CCONV      19_9    13_15  19_9     1.355657        1.465202        1.288719 1.355657
NCEDD/HCEDD      21_7    14_14  15_13    1.181588        1.076113        1.073544 1.076674
NCEDD/SPMV_CSRscalar     16_12   17_11  9_19     1.497709        1.772474        1.138422 1.345350
NCEDD/RCONV      26_2    12_16  15_13    1.123576        1.053070        1.040136 1.056650
NCEDD/CCONV      19_9    13_15  19_9     1.200886        1.466193        1.178383 1.200886
HCEDD/SPMV_CSRscalar     6_22    17_11  6_22     1.180095        1.781375        0.554916 1.180095
HCEDD/RCONV      25_3    13_15  15_13    1.045156        1.062277        1.024533 1.029527
HCEDD/CCONV      18_10   13_15  20_8     1.175753        1.475494        1.149613 1.167149
SPMV_CSRscalar/RCONV     15_13   10_18  9_19     1.395170        1.758987        0.641852 0.676916
SPMV_CSRscalar/CCONV     21_7    13_15  19_9     1.032440        2.153928        0.700076 0.504857
RCONV/CCONV      15_13   13_15  17_11    1.339324        1.452409        1.303295 1.326492

