Device=TITAN X (Pascal)
*****Profiling smk 2 0
 *** bk0=7 bk1=1 time=0.008478 exec_task0=22400 exec_task1=787 tpms0=2642.081260, tmps1=92.826694
10, MM
16, MM
18, MM
18, MM
22, MM
0, MM
0, MM
6, MM
6, MM
12, MM
25, MM
25, MM
13, MM
13, MM
0, MM
26, MM
26, MM
19, MM
19, MM
15, MM
15, MM
20, MM
20, MM
6, MM
9, MM
9, MM
21, MM
21, MM
13, MM
19, MM
14, MM
8, MM
15, MM
1, MM
1, MM
24, MM
24, MM
2, MM
21, MM
24, MM
5, MM
5, MM
11, MM
27, MM
27, MM
18, MM
11, MM
23, MM
27, MM
2, MM
2, MM
5, MM
26, MM
9, MM
1, MM
7, MM
8, MM
8, MM
20, MM
25, MM
4, MM
11, MM
3, MM
3, MM
14, MM
14, MM
10, MM
3, MM
7, MM
23, MM
23, MM
22, MM
22, MM
7, MM
 *** bk0=4 bk1=4 time=0.010007 exec_task0=22400 exec_task1=4865 tpms0=2238.347777, tmps1=486.141158
17, VA
17, VA
17, VA
17, VA
12, VA
12, VA
12, VA
12, VA
13, VA
13, VA
18, VA
13, VA
13, VA
24, VA
23, VA
25, VA
14, VA
14, VA
14, VA
18, VA
14, VA
23, VA
0, VA
25, VA
18, VA
18, VA
16, VA
22, VA
24, VA
10, VA
16, VA
22, VA
16, VA
26, VA
15, VA
22, VA
16, VA
26, VA
15, VA
22, VA
23, VA
24, VA
19, VA
15, VA
19, VA
15, VA
19, VA
19, VA
0, VA
10, VA
11, VA
25, VA
26, VA
27, VA
6, VA
6, VA
0, VA
11, VA
27, VA
0, VA
11, VA
11, VA
21, VA
6, VA
21, VA
26, VA
1, VA
6, VA
27, VA
1, VA
21, VA
1, VA
27, VA
25, VA
23, VA
10, VA
5, VA
20, VA
7, VA
20, VA
10, VA
7, VA
1, VA
21, VA
5, VA
4, VA
4, VA
2, VA
7, VA
2, VA
20, VA
8, VA
9, VA
5, VA
20, VA
5, VA
8, VA
8, VA
4, VA
4, VA
7, VA
24, VA
8, VA
9, VA
9, VA
9, VA
3, VA
3, VA
2, VA
2, VA
3, VA
3, VA
17, MM
17, MM
17, MM
17, MM
11, MM
11, MM
5, MM
5, MM
23, MM
23, MM
0, MM
0, MM
12, MM
12, MM
25, MM
25, MM
12, MM
12, MM
18, MM
18, MM
0, MM
0, MM
13, MM
13, MM
26, MM
26, MM
13, MM
13, MM
20, MM
20, MM
24, MM
19, MM
19, MM
25, MM
25, MM
8, MM
8, MM
1, MM
1, MM
19, MM
19, MM
14, MM
14, MM
24, MM
6, MM
6, MM
2, MM
2, MM
7, MM
7, MM
1, MM
1, MM
22, MM
22, MM
10, MM
10, MM
26, MM
26, MM
15, MM
15, MM
16, MM
16, MM
4, MM
4, MM
6, MM
6, MM
27, MM
27, MM
16, MM
16, MM
15, MM
15, MM
21, MM
21, MM
8, MM
8, MM
9, MM
9, MM
9, MM
9, MM
20, MM
20, MM
23, MM
23, MM
2, MM
2, MM
27, MM
27, MM
21, MM
21, MM
24, MM
24, MM
3, MM
3, MM
11, MM
5, MM
5, MM
10, MM
10, MM
3, MM
3, MM
11, MM
18, MM
18, MM
14, MM
14, MM
7, MM
4, MM
7, MM
22, MM
4, MM
22, MM
 *** bk0=3 bk1=5 time=0.011126 exec_task0=22400 exec_task1=7457 tpms0=2013.337825, tmps1=670.243757
14, VA
14, VA
14, VA
20, VA
12, VA
24, VA
18, VA
12, VA
18, VA
12, VA
17, VA
18, VA
23, VA
17, VA
17, VA
26, VA
24, VA
11, VA
6, VA
11, VA
26, VA
13, VA
13, VA
13, VA
16, VA
16, VA
25, VA
25, VA
25, VA
23, VA
23, VA
24, VA
16, VA
11, VA
22, VA
20, VA
19, VA
22, VA
6, VA
0, VA
6, VA
22, VA
7, VA
7, VA
19, VA
19, VA
20, VA
4, VA
15, VA
27, VA
15, VA
27, VA
15, VA
1, VA
4, VA
1, VA
21, VA
10, VA
10, VA
27, VA
5, VA
26, VA
5, VA
21, VA
0, VA
1, VA
5, VA
21, VA
4, VA
10, VA
7, VA
8, VA
8, VA
0, VA
9, VA
2, VA
8, VA
9, VA
2, VA
2, VA
9, VA
3, VA
3, VA
3, VA
20, MM
20, MM
26, MM
26, MM
17, MM
17, MM
17, MM
24, MM
24, MM
24, MM
12, MM
12, MM
12, MM
2, MM
2, MM
2, MM
8, MM
8, MM
23, MM
23, MM
23, MM
5, MM
5, MM
5, MM
11, MM
11, MM
6, MM
6, MM
6, MM
17, MM
17, MM
23, MM
23, MM
12, MM
12, MM
0, MM
0, MM
0, MM
5, MM
5, MM
13, MM
13, MM
13, MM
6, MM
6, MM
25, MM
25, MM
25, MM
0, MM
0, MM
19, MM
19, MM
19, MM
18, MM
18, MM
16, MM
16, MM
16, MM
22, MM
22, MM
22, MM
16, MM
16, MM
10, MM
10, MM
10, MM
8, MM
4, MM
4, MM
4, MM
15, MM
15, MM
15, MM
27, MM
27, MM
27, MM
21, MM
21, MM
21, MM
9, MM
9, MM
1, MM
1, MM
19, MM
15, MM
15, MM
19, MM
1, MM
1, MM
1, MM
25, MM
25, MM
27, MM
27, MM
14, MM
13, MM
2, MM
21, MM
20, MM
21, MM
7, MM
26, MM
20, MM
20, MM
7, MM
26, MM
26, MM
9, MM
